카테고리,질문,답변
일반 문의,영업 시간은 어떻게 되나요?,"평일 오전 9시부터 오후 6시까지 운영합니다. 주말 및 공휴일은 휴무이며, 긴급 문의는 고객센터 이메일로 연락 주시면 순차적으로 답변드립니다."
일반 문의,회원 가입은 어떻게 하나요?,"홈페이지 우측 상단의 '회원가입' 버튼을 클릭하여 이메일과 비밀번호를 입력하시면 됩니다. 소셜 로그인(Google, Kakao)도 지원합니다."
일반 문의,비밀번호를 잊어버렸어요.,"로그인 페이지에서 '비밀번호 찾기'를 클릭하시면 가입 시 등록한 이메일로 비밀번호 재설정 링크가 발송됩니다."
배송 문의,배송은 얼마나 걸리나요?,"주문 확인 후 영업일 기준 2~3일 이내 배송됩니다. 도서산간 지역은 1~2일 추가 소요될 수 있습니다."
배송 문의,배송비는 얼마인가요?,"30,000원 이상 구매 시 무료배송이며, 미만 시 2,500원의 기본 배송비가 부과됩니다."
배송 문의,해외 배송도 가능한가요?,현재 국내 배송만 지원하고 있습니다. 해외 배송 서비스는 추후 확대 예정입니다.
결제 문의,어떤 결제 수단을 사용할 수 있나요?,"신용카드, 체크카드, 계좌이체, 간편결제(네이버페이, 카카오페이, 토스페이)를 지원합니다."
결제 문의,결제 후 주문을 취소할 수 있나요?,상품 출고 전까지는 마이페이지에서 직접 주문 취소가 가능합니다.
환불/교환,반품은 어떻게 하나요?,"상품 수령 후 7일 이내에 마이페이지에서 반품 신청이 가능합니다. 단순 변심의 경우 왕복 배송비는 고객 부담입니다."
환불/교환,환불은 언제 되나요?,"반품 상품 확인 후 영업일 기준 3~5일 이내에 환불 처리됩니다."
